,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
8084,MCC NEW YORK,0,Suspended,2024-01-22 10:24:52 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male,10007
8085,FCI OAKDALE II,1157,Not Suspended,2024-01-22 10:25:07 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
8086,FCI OAKDALE I,837,Not Suspended,2024-01-22 10:25:23 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
8087,FTC OKLAHOMA CITY,1149,Not Suspended,2024-01-22 10:25:38 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female,73169
8088,FCI OTISVILLE,1085,Not Suspended,2024-01-22 10:25:54 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male,10963
8089,FCI OXFORD,1014,Not Suspended,2024-01-22 10:26:10 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male,53952
8090,FCI PEKIN,1291,Not Suspended,2024-01-22 10:26:26 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female,61554
8091,FPC PENSACOLA,473,Not Suspended,2024-01-22 10:26:41 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male,32509
8092,FCI PETERSBURG MEDIUM,1661,Not Suspended,2024-01-22 10:26:57 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
8093,FCI PETERSBURG LOW,679,Not Suspended,2024-01-22 10:27:12 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
8094,FDC PHILADELPHIA,850,Not Suspended,2024-01-22 10:27:27 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female,19106
8095,FCI PHOENIX,1149,Suspended,2024-01-22 10:27:43 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female,85086
8096,FCI POLLOCK,1582,Not Suspended,2024-01-22 10:27:59 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male,71467
8097,USP POLLOCK,1113,Not Suspended,2024-01-22 10:28:15 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male,71467
8098,FCI RAY BROOK,677,Not Suspended,2024-01-22 10:28:30 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male,12977
8099,FMC ROCHESTER,579,Not Suspended,2024-01-22 10:28:45 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male,55904
8100,FCI SAFFORD,660,Not Suspended,2024-01-22 10:29:01 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male,85546
8101,MCC SAN DIEGO,706,Not Suspended,2024-01-22 10:29:16 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female,92101
8102,FCI SANDSTONE,1113,Not Suspended,2024-01-22 10:29:39 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male,55072
8103,FCI SCHUYLKILL,1044,Not Suspended,2024-01-22 10:29:54 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male,17954
8104,FCI SEAGOVILLE,1741,Not Suspended,2024-01-22 10:30:10 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male,75159
8105,FDC SEATAC,729,Not Suspended,2024-01-22 10:30:25 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female,98198
8106,FCI SHERIDAN,1675,Not Suspended,2024-01-22 10:30:41 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male,97378
8107,MCFP SPRINGFIELD,945,Not Suspended,2024-01-22 10:30:56 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male,65807
8108,FCI TALLADEGA,1142,Not Suspended,2024-01-22 10:31:12 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male,35160
8109,FCI TALLAHASSEE,1006,Not Suspended,2024-01-22 10:31:30 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female,32301
8110,FCI TERMINAL ISLAND,945,Not Suspended,2024-01-22 10:31:46 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male,90731
8111,FCI TERRE HAUTE,1498,Not Suspended,2024-01-22 10:32:01 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male,47808
8112,USP TERRE HAUTE,1105,Not Suspended,2024-01-22 10:32:17 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male,47802
8113,FCI TEXARKANA,1236,Not Suspended,2024-01-22 10:32:32 PST,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male,75501
8114,FCI THOMSON,1750,Not Suspended,2024-01-22 10:32:47 PST,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male,61285
8115,FCI THREE RIVERS,1308,Suspended,2024-01-22 10:33:03 PST,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male,78071
8116,FCI TUCSON,286,Suspended,2024-01-22 10:33:19 PST,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female,85756
8117,USP TUCSON,1354,Suspended,2024-01-22 10:33:34 PST,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male,85756
8118,FCI VICTORVILLE MEDIUM I,1633,Suspended,2024-01-22 10:33:49 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female,92394
8119,FCI VICTORVILLE MEDIUM II,1389,Not Suspended,2024-01-22 10:34:05 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male,92394
8120,USP VICTORVILLE,1209,Not Suspended,2024-01-22 10:34:20 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male,92394
8121,FCI WASECA,774,Not Suspended,2024-01-22 10:34:37 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female,56093
8122,FCI WILLIAMSBURG,1275,Not Suspended,2024-01-22 10:34:53 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male,29590
8123,FPC YANKTON,428,Not Suspended,2024-01-22 10:35:09 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male,57078
8124,FCI YAZOO CITY MEDIUM,1347,Suspended,2024-01-22 10:35:24 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
8125,FCI YAZOO CITY LOW,1396,Not Suspended,2024-01-22 10:35:40 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
8126,USP YAZOO CITY,1488,Not Suspended,2024-01-22 10:35:55 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
8127,FPC ALDERSON,723,Not Suspended,2023-12-05 07:25:41 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female,24910
8128,FCI ALICEVILLE,1633,Not Suspended,2023-12-05 07:25:57 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female,35442
8129,FCI ALLENWOOD LOW,1030,Suspended,2023-12-05 07:26:13 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male,17810
8130,FCI ALLENWOOD MEDIUM,1287,Not Suspended,2023-12-05 07:26:28 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
8131,USP ALLENWOOD,298,Not Suspended,2023-12-05 07:26:43 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
8132,FCI ASHLAND,1314,Not Suspended,2023-12-05 07:26:59 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male,41105
8133,USP ATLANTA,1923,Not Suspended,2023-12-05 07:27:14 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male,30315
8134,USP ATWATER,1153,Not Suspended,2023-12-05 07:27:30 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male,95301
8135,FCI BASTROP,1107,Not Suspended,2023-12-05 07:27:46 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male,78602
8136,FCI BEAUMONT LOW,2048,Suspended,2023-12-05 07:28:02 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
8137,FCI BEAUMONT MEDIUM,1685,Suspended,2023-12-05 07:28:17 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
8138,USP BEAUMONT,1041,Suspended,2023-12-05 07:28:33 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
8139,FCI BECKLEY,1702,Not Suspended,2023-12-05 07:28:48 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male,25813
8140,FCI BENNETTSVILLE,1601,Not Suspended,2023-12-05 07:29:04 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male,29512
8141,FCI BERLIN,784,Not Suspended,2023-12-05 07:29:19 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male,03570
8142,USP BIG SANDY,1385,Not Suspended,2023-12-05 07:29:35 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male,41224
8143,FCI BIG SPRING,1092,Not Suspended,2023-12-05 07:29:51 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male,79720
8144,MDC BROOKLYN,1599,Not Suspended,2023-12-05 07:30:06 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female,11232
8145,FPC BRYAN,697,Not Suspended,2023-12-05 07:30:22 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female,77803
8146,FCI BUTNER MEDIUM II,1454,Suspended,2023-12-05 07:30:38 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
8147,FCI BUTNER LOW,957,Suspended,2023-12-05 07:30:53 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
8148,FCI BUTNER MEDIUM I,878,Suspended,2023-12-05 07:31:09 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
8149,FMC BUTNER,834,Suspended,2023-12-05 07:31:25 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male,27509
8150,USP CANAAN,1269,Suspended,2023-12-05 07:31:41 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male,18472
8151,FMC CARSWELL,979,Not Suspended,2023-12-05 07:31:56 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female,76127
8152,MCC CHICAGO,482,Not Suspended,2023-12-05 07:32:12 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female,60605
8153,FCI COLEMAN LOW,2014,Suspended,2023-12-05 07:32:28 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
8154,FCI COLEMAN MEDIUM,1564,Not Suspended,2023-12-05 07:32:43 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
8155,USP COLEMAN II,1201,Not Suspended,2023-12-05 07:32:59 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
8156,USP COLEMAN I,1405,Not Suspended,2023-12-05 07:33:15 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
8157,FCI CUMBERLAND,1058,Not Suspended,2023-12-05 07:33:31 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male,21502
8158,FCI DANBURY,932,Not Suspended,2023-12-05 07:33:46 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female,06811
8159,FMC DEVENS,895,Not Suspended,2023-12-05 07:34:02 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male,01432
8160,FCI DUBLIN,692,Not Suspended,2023-12-05 07:34:17 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female,94568
8161,FPC DULUTH,433,Not Suspended,2023-12-05 07:34:33 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male,55811
8162,FCI EDGEFIELD,1994,Not Suspended,2023-12-05 07:34:48 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male,29824
8163,FCI EL RENO,1230,Not Suspended,2023-12-05 07:35:04 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male,73036
8164,FCI ELKTON,1949,Not Suspended,2023-12-05 07:35:20 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male,44432
8165,FCI ENGLEWOOD,904,Not Suspended,2023-12-05 07:35:36 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male,80123
8166,FCI ESTILL,52,Not Suspended,2023-12-05 07:35:51 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male,29918
8167,FCI FAIRTON,817,Not Suspended,2023-12-05 07:36:07 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male,08320
8168,FCI FLORENCE,1289,Not Suspended,2023-12-05 07:36:23 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
8169,USP FLORENCE ADMAX,332,Not Suspended,2023-12-05 07:36:40 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
8170,USP FLORENCE - HIGH,956,Not Suspended,2023-12-05 07:36:55 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
8171,FCI FORREST CITY MEDIUM,1687,Not Suspended,2023-12-05 07:37:11 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
8172,FCI FORREST CITY LOW,1762,Not Suspended,2023-12-05 07:37:27 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
8173,FCI FORT DIX,3805,Not Suspended,2023-12-05 07:37:42 PST,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male,08640
8174,FMC FORT WORTH,1481,Not Suspended,2023-12-05 07:37:58 PST,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male,76119
8175,FCI GILMER,1678,Not Suspended,2023-12-05 07:38:14 PST,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male,26351
8176,FCI GREENVILLE,1256,Not Suspended,2023-12-05 07:38:30 PST,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female,62246
8177,MDC GUAYNABO,1170,Suspended,2023-12-05 07:38:45 PST,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female,00965
8178,FCI HAZELTON,2031,Not Suspended,2023-12-05 07:39:01 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female,26525
8179,USP HAZELTON,1576,Not Suspended,2023-12-05 07:39:16 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male,26525
8180,FCI HERLONG,1486,Not Suspended,2023-12-05 07:39:32 PST,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male,96113
8181,FDC HONOLULU,291,Not Suspended,2023-12-05 07:39:47 PST,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female,96819
8182,FDC HOUSTON,719,Not Suspended,2023-12-05 07:40:03 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female,77002
8183,FCI JESUP,1628,Not Suspended,2023-12-05 07:40:19 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male,31599
8184,FCI LA TUNA,787,Not Suspended,2023-12-05 07:40:35 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male,79821
8185,USP LEAVENWORTH,2028,Not Suspended,2023-12-05 07:40:50 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male,66048
8186,USP LEE,1514,Not Suspended,2023-12-05 07:41:06 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male,24277
8187,USP LEWISBURG,957,Not Suspended,2023-12-05 07:41:21 PST,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male,17837
8188,FMC LEXINGTON,1302,Not Suspended,2023-12-05 07:41:37 PST,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female,40511
8189,FCI LOMPOC,883,Not Suspended,2023-12-05 07:41:54 PST,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male,93436
8190,USP LOMPOC,2161,Not Suspended,2023-12-05 07:42:09 PST,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male,93436
8191,FCI LORETTO,821,Not Suspended,2023-12-05 07:42:25 PST,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male,15940
8192,MDC LOS ANGELES,635,Not Suspended,2023-12-05 07:42:41 PST,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female,90012
8193,FCI MANCHESTER,1090,Not Suspended,2023-12-05 07:42:57 PST,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male,40962
8194,FCI MARIANNA,1212,Not Suspended,2023-12-05 07:43:12 PST,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female,32446
8195,USP MARION,1317,Not Suspended,2023-12-05 07:43:28 PST,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male,62959
8196,USP MCCREARY,1639,Suspended,2023-12-05 07:43:44 PST,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male,42635
8197,FCI MCDOWELL,1551,Not Suspended,2023-12-05 07:43:59 PST,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male,24801
8198,FCI MCKEAN,1129,Not Suspended,2023-12-05 07:44:15 PST,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male,16738
8199,FCI MEMPHIS,1095,Not Suspended,2023-12-05 07:44:31 PST,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male,38134
8200,FCI MENDOTA,1128,Suspended,2023-12-05 07:44:46 PST,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male,93640
8201,FCI MIAMI,968,Not Suspended,2023-12-05 07:45:02 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male,33177
8202,FDC MIAMI,964,Not Suspended,2023-12-05 07:45:18 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female,33132
8203,FCI MILAN,1534,Not Suspended,2023-12-05 07:45:34 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male,48160
8204,FPC MONTGOMERY,569,Not Suspended,2023-12-05 07:45:49 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male,36112
8205,FCI MORGANTOWN,448,Not Suspended,2023-12-05 07:46:05 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male,26501
8206,MCC NEW YORK,0,Suspended,2023-12-05 07:46:20 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male,10007
8207,FCI OAKDALE II,1167,Not Suspended,2023-12-05 07:46:36 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
8208,FCI OAKDALE I,793,Not Suspended,2023-12-05 07:46:51 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male,71463
8209,FTC OKLAHOMA CITY,1320,Not Suspended,2023-12-05 07:47:07 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female,73169
8210,FCI OTISVILLE,1046,Not Suspended,2023-12-05 07:47:23 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male,10963
8211,FCI OXFORD,1014,Not Suspended,2023-12-05 07:47:38 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male,53952
8212,FCI PEKIN,1281,Not Suspended,2023-12-05 07:47:54 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female,61554
8213,FPC PENSACOLA,483,Not Suspended,2023-12-05 07:48:10 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male,32509
8214,FCI PETERSBURG MEDIUM,1686,Suspended,2023-12-05 07:48:25 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
8215,FCI PETERSBURG LOW,686,Not Suspended,2023-12-05 07:48:41 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male,23860
8216,FDC PHILADELPHIA,963,Not Suspended,2023-12-05 07:48:57 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female,19106
8217,FCI PHOENIX,1200,Not Suspended,2023-12-05 07:49:12 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female,85086
8218,FCI POLLOCK,1538,Not Suspended,2023-12-05 07:49:28 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male,71467
8219,USP POLLOCK,1048,Not Suspended,2023-12-05 07:49:43 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male,71467
8220,FCI RAY BROOK,690,Not Suspended,2023-12-05 07:49:59 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male,12977
8221,FMC ROCHESTER,581,Not Suspended,2023-12-05 07:50:14 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male,55904
8222,FCI SAFFORD,619,Not Suspended,2023-12-05 07:50:30 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male,85546
8223,MCC SAN DIEGO,648,Not Suspended,2023-12-05 07:50:46 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female,92101
8224,FCI SANDSTONE,1133,Suspended,2023-12-05 07:51:02 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male,55072
8225,FCI SCHUYLKILL,1010,Not Suspended,2023-12-05 07:51:17 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male,17954
8226,FCI SEAGOVILLE,1732,Not Suspended,2023-12-05 07:51:33 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male,75159
8227,FDC SEATAC,801,Not Suspended,2023-12-05 07:51:48 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female,98198
