,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
2784,FDC SEATAC,752,Not Suspended,2024-03-01 10:37:22 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female,98198
2785,FCI SHERIDAN,1595,Not Suspended,2024-03-01 10:37:38 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male,97378
2786,MCFP SPRINGFIELD,963,Not Suspended,2024-03-01 10:37:53 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male,65807
2787,FCI TALLADEGA,1131,Not Suspended,2024-03-01 10:38:08 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male,35160
2788,FCI TALLAHASSEE,1000,Not Suspended,2024-03-01 10:38:24 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female,32301
2789,FCI TERMINAL ISLAND,937,Not Suspended,2024-03-01 10:38:39 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male,90731
2790,FCI TERRE HAUTE,1427,Not Suspended,2024-03-01 10:38:55 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male,47808
2791,USP TERRE HAUTE,1127,Not Suspended,2024-03-01 10:39:11 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male,47802
2792,FCI TEXARKANA,1210,Not Suspended,2024-03-01 10:39:26 PST,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male,75501
2793,FCI THOMSON,1886,Not Suspended,2024-03-01 10:39:42 PST,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male,61285
