population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
2046.0,50.2,23.3,0.0,13.592233009708737,0,1,0,1
653.0,50.3,35.6,0.85,0.0,1,0,1,0
974.0,72.9,39.2,0.0,0.0,0,0,1,0
716.0,81.1,65.6,0.01,0.0,0,1,1,0
1392.0,56.5,30.1,0.0,1.9417475728155338,1,0,1,0
1104.0,77.8,74.5,5.41,70.87378640776699,0,1,0,1
723.0,58.5,44.9,6.53,0.0,0,0,0,1
1039.0,56.1,43.6,0.54,61.76470588235294,1,0,0,0
679.0,64.7,50.7,83.72,0.0,0,1,1,0
1303.0,59.5,48.5,0.0,19.41747572815534,1,0,0,1
1451.0,52.1,32.3,0.0,1.9417475728155338,1,0,1,0
1077.0,71.1,52.9,0.0,17.475728155339805,1,0,1,0
1501.0,65.3,52.3,0.3,0.0,1,0,0,1
430.0,61.8,36.5,0.0,0.0,1,0,0,1
1208.0,55.0,37.5,0.0,0.0,0,1,1,0
1982.0,69.5,61.4,11.3,18.446601941747574,1,0,1,0
1404.0,48.5,32.1,0.0,11.650485436893204,1,0,1,0
1013.0,25.6,14.2,1.66,27.184466019417474,1,0,1,0
1293.0,65.3,20.5,0.0,1.9417475728155338,1,0,1,0
325.0,53.2,39.4,0.0,0.0,1,0,1,0
1487.0,37.1,33.6,0.64,6.796116504854369,1,0,0,1
829.0,59.7,35.4,0.0,0.0,1,0,0,1
1654.0,47.6,37.8,3.78,20.388349514563107,0,1,0,0
1413.0,65.6,46.0,0.0,14.563106796116504,1,0,1,0
776.0,51.3,41.2,0.01,12.62135922330097,0,1,0,0
672.0,70.8,58.4,0.22,0.0,0,1,1,0
1334.0,63.9,53.0,0.52,19.41747572815534,1,0,0,1
1213.0,42.9,17.4,0.0,0.0,0,1,0,1
1167.0,88.8,76.5,2.6,70.87378640776699,0,1,0,1
1673.0,52.2,41.5,0.66,16.50485436893204,1,0,0,1
1617.0,50.6,31.1,0.0,4.854368932038835,1,0,0,0
1278.0,80.7,60.3,8.01,0.9708737864077669,0,1,0,1
1668.0,49.9,25.9,1.37,16.50485436893204,1,0,0,1
856.0,62.4,34.4,0.0,2.912621359223301,1,0,1,0
1287.0,51.4,39.9,27.84,35.92233009708738,1,0,1,0
771.0,39.5,29.2,6.53,0.9708737864077669,1,0,1,0
1113.0,64.0,59.1,8.15,10.679611650485436,1,0,0,1
757.0,52.4,35.8,0.0,0.0,1,0,1,0
1477.0,46.2,31.5,0.07,6.796116504854369,1,0,0,1
1313.0,43.8,27.2,0.0,0.0,1,0,0,1
