ds,yhat,title,zip,avgtemp_f,totalprecip_mm,lockdown_probability
2024-05-08 22:01:22,1085.2221607351091,FCI BASTROP,78602,60.0,0.0,0.4926128848518172
2024-05-01 22:01:38,2009.4559023974425,FCI BEAUMONT LOW,77705,75.9,8.06,0.5698207172894769
2024-05-02 22:01:38,2009.5951025624984,FCI BEAUMONT LOW,77705,76.8,0.41,0.5432248653373485
2024-05-03 22:01:38,2006.995597750109,FCI BEAUMONT LOW,77705,60.0,0.0,0.5025528301412328
2024-05-04 22:01:38,2009.6803019948031,FCI BEAUMONT LOW,77705,60.0,0.0,0.5025817815205648
2024-05-05 22:01:38,2009.0343611724682,FCI BEAUMONT LOW,77705,60.0,0.0,0.5025748158096922
2024-05-06 22:01:38,2011.598082735977,FCI BEAUMONT LOW,77705,60.0,0.0,0.5026024625208627
2024-05-07 22:01:38,2012.465096124132,FCI BEAUMONT LOW,77705,60.0,0.0,0.5026118122333488
2024-05-08 22:01:38,2012.420011209556,FCI BEAUMONT LOW,77705,60.0,0.0,0.5026113260459893
2024-05-01 22:01:53,1634.6928836496159,FCI BEAUMONT MEDIUM,77705,75.9,8.06,0.5658536486906472
2024-05-02 22:01:53,1633.9960123524243,FCI BEAUMONT MEDIUM,77705,76.8,0.41,0.5392019061430389
2024-05-03 22:01:53,1637.987826521683,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.4985734362457579
2024-05-04 22:01:53,1635.8527957527642,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.49855041203214556
2024-05-05 22:01:53,1637.0826902478461,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.4985636752377154
2024-05-06 22:01:53,1639.3244909364032,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.4985878508640616
2024-05-07 22:01:53,1640.4873146626915,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.4986003907824866
2024-05-08 22:01:53,1639.2247923486082,FCI BEAUMONT MEDIUM,77705,60.0,0.0,0.4985867757122274
