title,population,operation_level,gender,judicial_district,county,bop_region,full_address,visiting_status,datetime_of_data
USP ATWATER,1174,,Male,Eastern California,MERCED,Western Region,"1 FEDERAL WAY, ATWATER, CA 95301",Not Suspended,2024-01-09 10:11:12 PST
FCI BASTROP,1083,,Male,Western Texas,Bastrop,South Central Region,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",Not Suspended,2024-01-09 10:11:27 PST
FCI BEAUMONT LOW,2008,,Male,Eastern Texas,Jefferson,South Central Region,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-01-09 10:11:43 PST
FCI BEAUMONT MEDIUM,1663,,Male,Eastern Texas,Jefferson,South Central Region,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-01-09 10:11:59 PST
USP BEAUMONT,1118,,Male,Eastern Texas,Jefferson,South Central Region,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-01-09 10:12:14 PST
FCI BECKLEY,1706,,Male,Southern West Virginia,Raleigh,Mid-Atlantic Region,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Suspended,2024-01-09 10:12:30 PST
FCI BENNETTSVILLE,1633,,Male,South Carolina,Marlboro,Southeast Region,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Not Suspended,2024-01-09 10:12:45 PST
FCI BERLIN,769,,Male,District of New Hampshire,COOS COUNTY,Northeast Region,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Not Suspended,2024-01-09 10:13:01 PST
USP BIG SANDY,1398,,Male,Eastern Kentucky,Martin,Mid-Atlantic Region,"1197 AIRPORT ROAD, INEZ, KY 41224",Not Suspended,2024-01-09 10:13:16 PST
FCI BIG SPRING,1071,,Male,Northern Texas,HOWARD,South Central Region,"1900 SIMLER AVE, BIG SPRING, TX 79720",Not Suspended,2024-01-09 10:13:31 PST
MDC BROOKLYN,1544,,Male and Female,Eastern New York,KINGS,Northeast Region,"80 29TH STREET, BROOKLYN, NY 11232",Not Suspended,2024-01-09 10:13:47 PST
FPC BRYAN,703,,Female,Southern Texas,BRAZOS,South Central Region,"1100 URSULINE AVENUE, BRYAN, TX 77803",Not Suspended,2024-01-09 10:14:03 PST
FCI BUTNER MEDIUM II,1443,,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-01-09 10:14:18 PST
FCI BUTNER LOW,955,,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-01-09 10:14:34 PST
FCI BUTNER MEDIUM I,879,,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-01-09 10:14:49 PST
FMC BUTNER,834,,Male,Eastern North Carolina,Granville,Mid-Atlantic Region,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Not Suspended,2024-01-09 10:15:05 PST
USP CANAAN,1259,,Male,Middle Pennsylvania,WAYNE,Northeast Region,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Suspended,2024-01-09 10:15:22 PST
FMC CARSWELL,979,,Female,Northern Texas,TARRANT,South Central Region,"NAVAL AIR STATION, FORT WORTH, TX 76127",Not Suspended,2024-01-09 10:15:37 PST
MCC CHICAGO,492,,Male and Female,Northern Illinois,COOK,North Central Region,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",Not Suspended,2024-01-09 10:15:53 PST
FCI COLEMAN LOW,2028,,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-01-09 10:16:08 PST
FCI COLEMAN MEDIUM,1565,,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-01-09 10:16:24 PST
USP COLEMAN II,1189,,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-01-09 10:16:39 PST
USP COLEMAN I,1407,,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-01-09 10:16:55 PST
FCI CUMBERLAND,1053,,Male,Maryland,Allegany,Mid-Atlantic Region,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Not Suspended,2024-01-09 10:17:11 PST
